,pf,row,visible,x,y,z,labeled,x_proj,y_proj,x_proj_rotated,y_proj_rotated,x_pixel,y_pixel
5258,8.0,350.0,1.0,-9.185760573129333,-9.269536271742115,2805.366712009745,False,2805.366712009745,-9.185760573129333,-714.586393587,-2712.845932438847,48,69
5259,9.0,350.0,1.0,-12.147776400037188,-4.768021448640883,2806.4477120097445,False,2806.4477120097445,-12.147776400037188,-717.7250899517932,-2713.1470700958853,48,69
5260,10.0,350.0,1.0,-13.038553751298352,0.5464577518013289,2807.5287120097446,True,2807.5287120097446,-13.038553751298352,-718.859151109423,-2713.9692322333467,48,69
5261,11.0,350.0,1.0,-11.706211964772773,5.767763989260551,2808.6097120097447,False,2808.6097120097447,-11.706211964772773,-717.8415803107498,-2715.3506247575083,48,69
5262,12.0,350.0,1.0,-8.377919987277354,10.005646240337438,2809.690712009745,False,2809.690712009745,-8.377919987277354,-714.8922416004588,-2717.234102832623,48,69
5263,13.0,350.0,1.0,-3.621163272524735,12.537530719951116,2810.7717120097445,False,2810.7717120097445,-3.621163272524735,-710.5603722264286,-2719.4769142758087,48,69
5264,14.0,350.0,1.0,1.7530144787748632,12.93172224559458,2811.8527120097447,False,2811.8527120097447,1.7530144787748632,-705.6309357629216,-2721.8750393048285,48,68
5265,0.0,351.0,1.0,6.992523170804042,11.018489901332604,2804.709336901201,False,2804.709336901201,6.992523170804042,-698.7629787102042,-2716.2793780215447,48,69
5266,1.0,351.0,1.0,10.84813612011909,7.253994948948306,2805.790336901201,False,2805.790336901201,10.84813612011909,-695.3032756946849,-2718.2955048179874,48,69
5267,2.0,351.0,1.0,12.854103819051149,2.252668419686894,2806.8713369012007,False,2806.8713369012007,12.854103819051149,-693.6337402688838,-2719.846349385039,48,69
5268,3.0,351.0,1.0,12.668401740467841,-3.132745974717922,2807.952336901201,False,2807.952336901201,12.668401740467841,-694.0853987327007,-2720.8458747194118,48,69
5269,4.0,351.0,1.0,10.322692739981836,-7.984016194618239,2809.033336901201,False,2809.033336901201,10.322692739981836,-696.6276063893192,-2721.302045680337,48,68
5270,5.0,351.0,1.0,6.216928428034564,-11.473983655239172,2810.114336901201,False,2810.114336901201,6.216928428034564,-700.8732725734781,-2721.3154709531377,48,68
5271,6.0,351.0,1.0,1.0511560177782449,-13.00759666603668,2811.195336901201,False,2811.195336901201,1.0511560177782449,-706.1448609673357,-2721.062248915568,48,68
5272,7.0,351.0,1.0,-4.293842179670136,-12.323368830643899,2812.276336901201,False,2812.276336901201,-4.293842179670136,-711.5899119186251,-2720.763942246873,48,69
5273,8.0,351.0,1.0,-8.906725227974002,-9.537963394423961,2813.357336901201,False,2813.357336901201,-8.906725227974002,-716.3263898007443,-2720.6498007140017,48,69
5274,9.0,351.0,1.0,-12.000980391084294,-5.126301752024576,2814.4383369012007,False,2814.4383369012007,-12.000980391084294,-719.5930731801859,-2720.917673282424,48,69
5275,10.0,351.0,1.0,-13.049026312853988,0.15941231584881344,2815.519336901201,True,2815.519336901201,-13.049026312853988,-720.8793457403794,-2721.7002741737033,48,68
5276,11.0,351.0,1.0,-11.872167488366857,5.4179460248478835,2816.600336901201,False,2816.600336901201,-11.872167488366857,-720.0122581542773,-2723.042554625323,48,68
5277,12.0,351.0,1.0,-8.671062474169478,9.752700937127615,2817.681336901201,False,2817.681336901201,-8.671062474169478,-717.186016551112,-2724.8940385470623,48,68
5278,13.0,351.0,1.0,-3.9915109007169414,12.424586139162056,2818.762336901201,False,2818.762336901201,-3.9915109007169414,-712.928869690324,-2727.1174288713837,48,68
5279,14.0,351.0,1.0,1.3686072786127692,12.978035834321314,2819.843336901201,False,2819.843336901201,1.3686072786127692,-708.0130406956332,-2729.5120171849226,48,68
5280,0.0,352.0,1.0,6.662568271628199,11.221082123658718,2812.6999617926576,False,2812.6999617926576,6.662568271628199,-701.0923823238975,-2723.9300534947283,48,68
5281,1.0,352.0,1.0,10.628162638034631,7.572625630485427,2813.7809617926578,False,2813.7809617926578,10.628162638034631,-697.5262344815621,-2725.973846352501,48,68
5282,2.0,352.0,1.0,12.78161800414956,2.6330099118688874,2814.8619617926574,False,2814.8619617926574,12.78161800414956,-695.713954039321,-2727.561791758527,48,68
5283,3.0,352.0,1.0,12.755762678380822,-2.7555432300776723,2815.9429617926576,True,2815.9429617926576,12.755762678380822,-696.0109058229511,-2728.6015268863694,48,68
5284,4.0,352.0,1.0,10.555005084440634,-7.674266588243624,2817.0239617926577,False,2817.0239617926577,10.555005084440634,-698.412823167128,-2729.0941606844667,48,68
5285,5.0,352.0,1.0,6.554582109643328,-11.284500581237241,2818.104961792658,False,2818.104961792658,6.554582109643328,-702.5565353968276,-2729.134084796538,48,68
5286,6.0,352.0,1.0,1.4365798997493635,-12.970687652998052,2819.1859617926575,False,2819.1859617926575,1.4365798997493635,-707.7818897009722,-2728.892879455315,48,68
